Version,Release Date,Archived?,SoftwareVersionExternalIdentifier,Minimum iOS,Notes,Link
2.625.507,5/20/2024,Yes,865963859,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-865963859/com.roblox.robloxmobile-2.625.507-431946152-865963859.ipa
2.627.451,5/30/2024,Yes,866286656,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-866286656/com.roblox.robloxmobile-2.627.451-431946152-866286656.ipa
2.628.388,6/6/2024,Yes,866447492,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-866447492/com.roblox.robloxmobile-2.628.388-431946152-866447492.ipa
2.629.609,6/13/2024,Yes,866654265,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-866654265/com.roblox.robloxmobile-2.629.609-431946152-866654265.ipa
2.630.554,6/20/2024,Yes,866802999,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-866802999/com.roblox.robloxmobile-2.630.554-431946152-866802999.ipa
2.630.557,6/26/2024,Yes,867008884,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-867008884/com.roblox.robloxmobile-2.630.557-431946152-867008884.ipa
2.631.472,7/8/2024,Yes,867227854,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-867227854/com.roblox.robloxmobile-2.631.472-431946152-867227854.ipa
2.633.513,7/11/2024,Yes,867364211,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-867364211/com.roblox.robloxmobile-2.633.513-431946152-867364211.ipa
2.634.417,7/18/2024,Yes,867528746,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-867528746/com.roblox.robloxmobile-2.634.417-431946152-867528746.ipa
2.635.588,7/25/2024,Yes,867710659,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-867710659/com.roblox.robloxmobile-2.635.588-431946152-867710659.ipa
2.636.625,8/1/2024,Yes,867857427,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-867857427/com.roblox.robloxmobile-2.636.625-431946152-867857427.ipa
2.636.626,8/2/2024,Yes,867922035,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-867922035/com.roblox.robloxmobile-2.636.626-431946152-867922035.ipa
2.637.726,8/8/2024,Yes,868002918,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-868002918/com.roblox.robloxmobile-2.637.726-431946152-868002918.ipa
2.638.610,8/15/2024,Yes,868187232,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-868187232/com.roblox.robloxmobile-2.638.610-431946152-868187232.ipa
2.639.688,8/22/2024,Yes,868327140,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-868327140/com.roblox.robloxmobile-2.639.688-431946152-868327140.ipa
2.640.730,8/29/2024,Yes,868542457,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-868542457/com.roblox.robloxmobile-2.640.730-431946152-868542457.ipa
2.641.737,9/5/2024,Yes,868763451,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-868763451/com.roblox.robloxmobile-2.641.737-431946152-868763451.ipa
2.642.636,Unknown,Yes,868911383,iOS 12.0,,https://www.mediafire.com/file/yki2p82u82608ze/Roblox_2.642.636_decrypted.ipa/file
2.642.637,9/12/2024,Yes,868946407,iOS 12.0,,https://www.mediafire.com/file/w4zhtn7kx600eqs/Roblox_2.642.637_decrypted+(2).ipa/file
2.644.702,9/24/2024,No,869219200,iOS 12.0,,https://www.mediafire.com/file/7izli0n2hx38ovr/Roblox_2.644.702_decrypted.ipa/file
2.645.665,10/2/2024,Yes,869440227,iOS 12.0,,https://www.mediafire.com/file/y3yugm3ga53ckug/Roblox_2.645.665_decrypted.ipa/file
2.646.699,10/20/2024,Yes,869605897,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-869605897/com.roblox.robloxmobile-2.646.699-431946152-869605897.ipa
2.647.716,10/21/2024,Yes,869744555,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-869744555/com.roblox.robloxmobile-2.647.716-431946152-869744555.ipa
2.649.877,10/31/2024,Yes,869904388,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-869904388/com.roblox.robloxmobile-2.649.877-431946152-869904388.ipa
2.650.741,11/8/2024,Yes,870196782,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-870196782/com.roblox.robloxmobile-2.650.741-431946152-870196782.ipa
2.651.836,11/15/2024,Yes,870377812,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-870377812/com.roblox.robloxmobile-2.651.836-431946152-870377812.ipa
2.652.762,11/25/2024,Yes,870545819,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-870545819/com.roblox.robloxmobile-2.652.762-431946152-870545819.ipa
2.654.464,12/10/2024,Yes,870709081,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-870709081/com.roblox.robloxmobile-2.654.464-431946152-870709081.ipa
2.654.474,1/6/2025,Yes,871107725,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-871107725/com.roblox.robloxmobile-2.654.474-431946152-871107725.ipa
2.655.1095,1/9/2025,Yes,871570371,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-871570371/com.roblox.robloxmobile-2.655.1095-431946152-871570371.ipa
2.657.604,1/27/2025,Yes,871757629,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-871757629/com.roblox.robloxmobile-2.657.604-431946152-871757629.ipa
2.658.460,1/30/2025,Yes,872093824,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-872093824/com.roblox.robloxmobile-2.658.460-431946152-872093824.ipa
2.659.473,2/6/2025,Yes,872222835,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-872222835/com.roblox.robloxmobile-2.659.473-431946152-872222835.ipa
2.660.644,2/13/2025,Yes,872392589,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-872392589/com.roblox.robloxmobile-2.660.644-431946152-872392589.ipa
2.660.649,2/19/2025,Yes,872531406,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-872531406/com.roblox.robloxmobile-2.660.649-431946152-872531406.ipa
2.662.536,3/4/2025,Yes,872795943,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-872795943/com.roblox.robloxmobile-2.662.536-431946152-872795943.ipa
2.663.657,3/11/2025,Yes,872976652,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-872976652/com.roblox.robloxmobile-2.663.657-431946152-872976652.ipa
2.664.707,3/13/2025,Yes,873161649,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-873161649/com.roblox.robloxmobile-2.664.707-431946152-873161649.ipa
2.665.681,3/24/2025,Yes,873314308,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-873314308/com.roblox.robloxmobile-2.665.681-431946152-873314308.ipa
2.666.608,3/28/2025,Yes,873560539,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-873560539/com.roblox.robloxmobile-2.666.608-431946152-873560539.ipa
2.667.665,4/4/2025,Yes,873710601,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-873710601/com.roblox.robloxmobile-2.667.665-431946152-873710601.ipa
2.667.668,4/8/2025,Yes,873795980,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-873795980/com.roblox.robloxmobile-2.667.668-431946152-873795980.ipa
2.668.658,4/14/2025,Yes,873883118,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-873883118/com.roblox.robloxmobile-2.668.658-431946152-873883118.ipa
2.669.657,4/17/2025,Yes,874062548,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-874062548/com.roblox.robloxmobile-2.669.657-431946152-874062548.ipa
2.670.714,4/28/2025,Yes,874227973,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-874227973/com.roblox.robloxmobile-2.670.714-431946152-874227973.ipa
2.672.699,5/12/2025,Yes,874433449,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-874433449/com.roblox.robloxmobile-2.672.699-431946152-874433449.ipa
2.673.712,5/17/2025,Yes,874754287,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-874754287/com.roblox.robloxmobile-2.673.712-431946152-874754287.ipa
2.674.782,5/23/2025,Yes,874943565,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-874943565/com.roblox.robloxmobile-2.674.782-431946152-874943565.ipa
2.675.715,6/5/2025,Yes,875122803,iOS 12.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-875122803/com.roblox.robloxmobile-2.675.715-431946152-875122803.ipa
2.677.762,6/13/2025,Yes,875511910,iOS 13.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-875511910/com.roblox.robloxmobile-2.677.762-431946152-875511910.ipa
2.678.750,6/21/2025,Yes,875673142,iOS 13.0,,https://www.mediafire.com/file/mubby3m08ry5an1/Roblox_2.678.750_decrypted.ipa/file
2.679.761,7/2/2025,Yes,875894462,iOS 13.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-875894462/com.roblox.robloxmobile-2.679.761-431946152-875894462.ipa
2.681.805,7/12/2025,Yes,876238723,iOS 13.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-876238723/com.roblox.robloxmobile-2.681.805-431946152-876238723.ipa
2.682.536,7/18/2025,Yes,876425320,iOS 13.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-876425320/com.roblox.robloxmobile-2.682.536-431946152-876425320.ipa
2.683.774,7/25/2025,Yes,876620005,iOS 13.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-876620005/com.roblox.robloxmobile-2.683.774-431946152-876620005.ipa
2.684.688,8/6/2025,Yes,876718771,iOS 13.0,,https://github.com/Yakov5776/roblox-action-ipadown/releases/download/com.roblox.robloxmobile-431946152-876718771/com.roblox.robloxmobile-2.684.688-431946152-876718771.ipa
2.685.797,8/12/2025,Yes,877010277,,,
2.686.866,8/15/2025,Yes,877200574,,,
2.687.815,8/26/2025,Yes,877392043,,,
2.688.861,9/3/2025,Yes,877596137,,,
